Subject,Cond,Interest,CSComm,grppref,condxgrppref
101,1,4,4.2,6,6
102,1,4,5.2,6.33333333333333,6.33333333333333
108,1,4.66666666666667,5.6,5.33333333333333,5.33333333333333
111,1,1.66666666666667,2,6.33333333333333,6.33333333333333
117,0,4,1.8,3.66666666666667,0
118,0,2.33333333333333,4.8,3,0
119,1,4.66666666666667,5,3.66666666666667,3.66666666666667
120,1,1.66666666666667,4,4,4
122,0,1,3,5,0
123,0,1,1,3.66666666666667,0
125,0,6,4.2,3.33333333333333,0
126,1,3.33333333333333,3.6,1.66666666666667,1.66666666666667
127,1,3,4.2,4.33333333333333,4.33333333333333
128,0,4,3.6,2,0
129,1,6.66666666666667,4.8,3,3
130,0,1,1,5.33333333333333,0
133,1,2.33333333333333,1.8,5.66666666666667,5.66666666666667
134,1,2,4,5,5
136,1,3, , , 
138,1,5,4.8,5.66666666666667,5.66666666666667
140,0,4.33333333333333,4.6,4.66666666666667,0
141,1,3.66666666666667,4.6,5.33333333333333,5.33333333333333
142,0,1,2.8,1.33333333333333,0
143,0,4,4.4,2.66666666666667,0
145,1,5,4,4.66666666666667,4.66666666666667
146,1,2,4,2.33333333333333,2.33333333333333
149,1,1,2.8,4.33333333333333,4.33333333333333
152,0,3.66666666666667,4.4,4.66666666666667,0
153,0,1.33333333333333,2,3.66666666666667,0
157,0,1,4.8,4.66666666666667,0
160,1,2.33333333333333,4,3,3
163,0,1.66666666666667,2.2,5,0
166,0,1,5,4.33333333333333,0
167,0,2,6.2,2,0
168,0,3,4.6,3.66666666666667,0
169,1,2,3.6,3.66666666666667,3.66666666666667
171,1,4,4,3.66666666666667,3.66666666666667
172,0,4,3.6,3.66666666666667,0
173,1,3.33333333333333,3.2,5,5
175,1,4.33333333333333,4,4.66666666666667,4.66666666666667
179,0,2.33333333333333,4.2,5.33333333333333,0
181,1,4,4.4,3.66666666666667,3.66666666666667
182,1,4,4,4.66666666666667,4.66666666666667
183,0,3.66666666666667,3.4,2.66666666666667,0
184,0,1.33333333333333,2.4,5,0
185,1,3.33333333333333,5.2,4,4
186,1,4.66666666666667,4.8,4.33333333333333,4.33333333333333
187,1,5,4,4,4
188,1,4,4.4,5,5
189,0,5.66666666666667,5,4.66666666666667,0
191,1,4.66666666666667,4.8,6.33333333333333,6.33333333333333
192,1,4.33333333333333,4.2,2,2
193,0,2,4.4,1.66666666666667,0
195,1,3.66666666666667,3.6,3.33333333333333,3.33333333333333
197,0,2.66666666666667,4.8,3.33333333333333,0
198,0,3,3.6,3.33333333333333,0
199,0,4.66666666666667,4.8,4.33333333333333,0
201,0,3.33333333333333,2,5,0
203,0,1,3.8,5.33333333333333,0
204,0,2,4.6,2,0
209,1,1.66666666666667,3.2,1.66666666666667,1.66666666666667
210,1,1,2.4,4,4
211,1,2.66666666666667,6.6,6,6
212,1,1,4.2,3.33333333333333,3.33333333333333
213,0,3.33333333333333,4.4,1.66666666666667,0
214,1,5,4.6,3,3
215,1,2.33333333333333,2.4,2.33333333333333,2.33333333333333
218,1,1,4,5.66666666666667,5.66666666666667
219,0,4,5.6,4,0
221,0,3,1.8,1,0
223,0,1,4,2.66666666666667,0
224,1,1,1.2,4.33333333333333,4.33333333333333
225,0,4.33333333333333,4.2,5,0
228,0,1,1,7,0
230,0,2.66666666666667,3.8,4,0
232,1,5,4.6,3.66666666666667,3.66666666666667
233,1,4,4.4,2.33333333333333,2.33333333333333
234,0,4.66666666666667,1.6,2.33333333333333,0
235,0,1,1,3,0
237,0,5,4.2,3.66666666666667,0
238,1,4,4.6,4.33333333333333,4.33333333333333
240,0,2.33333333333333,2,4.33333333333333,0
241,0,4,4,3,0
243,0,2,3.2,5.33333333333333,0
245,0,2,1,6,0
246,0,2,4.2,4,0
247,0,6,2.6,4.33333333333333,0
248,0,3,3.2,2.33333333333333,0
249,0,3.66666666666667,4.8,4,0
251,1,1,1,2.66666666666667,2.66666666666667
252,1,1,3.2,2.66666666666667,2.66666666666667
254,0,1,2.8,4.33333333333333,0
256,1,1.66666666666667,4.8,5,5
257,0,1,2.8,4.66666666666667,0
258,0,3,4.4,5,0
259,0,1,3.6,4,0
260,0,1,1.6,5.33333333333333,0
261,0,4,4.4,4.66666666666667,0
264,0,1,2,3.66666666666667,0
265,0,3.66666666666667,4.4,3,0
268,0,1.66666666666667,2.8,1.66666666666667,0
270,1,2.66666666666667,3.8,2.66666666666667,2.66666666666667
271,1,1,3.4,2,2
273,1,5.66666666666667,3,6,6
275,0,3,4,4.33333333333333,0
276,0,3.33333333333333,2,2.66666666666667,0
287,1,2,3.4,2.33333333333333,2.33333333333333
