Subject,int_I,int_G,grppref,comm_I,comm_G,diff_I,diff_G,Order,int_diff
300,1.5,4,6.67,1,6.8,3,3,1,2.5
301,2.75,3.25,6.33,2,5.4,5,7,1,.5
325,5.75,2.5,2.67,3.2,3.6,4,5,1,-3.25
342,3.5,5.75,6,1.6,5.2,6,4,1,2.25
349,2.25,2,4,4.4,4.6,6,7,1,-.25
350,1.5,1.75,3.67,3,5,6,5,1,.25
305,2.5,4.25,4,4.2,4.4,5,5,1,1.75
348,6,1.75,2.33,4.8,2.4,5,6,1,-4.25
318,3,2,4.67,2.6,5.8,4,2,1,-1
320,4,5.25,4,1.6,5,5,2,1,1.25
332,5,5,3.67,4.6,6.2,5,5,1,0
338,2,1.75,3,3.8,4.2,4,4,1,-.25
310,1,1.75,3,2.6,3.2,5,5,1,.75
304,1.25,4.5,5.67,1,6,6,4,2,3.25
306,5.75,4.5,4,2.6,6,6,4,2,-1.25
308,3.25,4.75,4,3,6.2,5,3,2,1.5
315,2.75,2.25,4.33,4.8,4.6,5,5,2,-.5
322,5.5,2,2.33,4,7,4,4,2,-3.5
343,1.75,5.25,6,1.6,5.6,5,4,2,3.5
314,4,5.5,3,1.8,5.4,3,5,2,1.5
319,2.25,4,5,2.2,4.8,4,4,2,1.75
330,4,6.5,5.67,2,6.8,5,4,2,2.5
334,5,4.5,3.33,3.2,6,5,3,2,-.5
309,5,3.75,1,4,4.8,4,7,2,-1.25
329,4.75,5.25,4,1.2,6.6,5,5,2,.5
333,1.75,5.25,6.33,2.6,6.4,5,4,2,3.5
336,4.5,2.25,3.67,4,4.8,5,5,2,-2.25
341,1,3.75,4.33,1,5.8,7,4,2,2.75
302,1.75,1.75,4,3,5.2,3,5,2,0
307,4.75,4,3,4,4.2,5,5,2,-.75
323,2.25,4.75,5,2.8,6,4,4,2,2.5
324,3.75,4,4.67,3.6,5.4,5,5,2,.25
344,3.5,3,4,3.4,4.8,5,4,2,-.5
346,3.75,3,4.67,1.8,6,6,5,2,-.75
345,1.25,5,3.67,2.6,5.2,5,4,2,3.75
303,3.25,5,5.33,2.6,6.4,6,3,2,1.75
311,2,3.75,3.33,2.2,6.2,5,3,2,1.75
312,3,5.25,5.33,2.2,6,6,4,2,2.25
331,4.25,6,3.33,3.8,6.2,5,5,2,1.75
335,4.25,5,2,4.4,4.2,5,4,2,.75
340,2.75,4,3.33,2.4,4.6,5,5,2,1.25
316,2.5,1,4,4,4,3,4,1,-1.5
317,6,6.25,4.67,4.4,5.8,6,6,1,.25
326,5.5,1.25,1.33,3.2,6.2,4,6,1,-4.25
347,4,3.5,2,3.6,5.6,5,5,1,-.5
321,5,4,3.67,4.6,4.8,3,3,1,-1
327,4,2.5,2,3.2,3.4,5,5,1,-1.5
328,1.75,4.5,4.67,4.4,5,7,6,1,2.75
337,2,4.5,6,1.8,6.4,6,4,1,2.5
313,3.5,2,3,3.2,5.6,4,3,1,-1.5
339,3.25,1.25,1.67,4.2,5,4,4,1,-2
